what,kind,bundleId,bundleVersion,description,time
<<<<<<< HEAD
java.runtime.version,sysinfo,,,"1.8.0_101-b13",1488194846521
java.specification.name,sysinfo,,,"Java Platform API Specification",1488194846521
java.specification.vendor,sysinfo,,,"Oracle Corporation",1488194846521
java.specification.version,sysinfo,,,"1.8",1488194846521
java.vendor,sysinfo,,,"Oracle Corporation",1488194846521
java.version,sysinfo,,,"1.8.0_101",1488194846521
java.vm.info,sysinfo,,,"mixed mode",1488194846521
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1488194846521
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1488194846521
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1488194846521
java.vm.specification.version,sysinfo,,,"1.8",1488194846521
java.vm.vendor,sysinfo,,,"Oracle Corporation",1488194846521
java.vm.version,sysinfo,,,"25.101-b13",1488194846521
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1488194846521
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1488194846567
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1488194846599
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1488194846614
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1488194846787
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1488194846803
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1488194846928
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1488194846944
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1488194847084
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1488194847100
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1488194847912
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1488194847912
=======
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1487757628163
java.specification.name,sysinfo,,,"Java Platform API Specification",1487757628163
java.specification.vendor,sysinfo,,,"Oracle Corporation",1487757628163
java.specification.version,sysinfo,,,"1.7",1487757628163
java.vendor,sysinfo,,,"Oracle Corporation",1487757628163
java.version,sysinfo,,,"1.7.0_01",1487757628163
java.vm.info,sysinfo,,,"mixed mode, sharing",1487757628163
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1487757628163
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1487757628163
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1487757628163
java.vm.specification.version,sysinfo,,,"1.7",1487757628163
java.vm.vendor,sysinfo,,,"Oracle Corporation",1487757628163
java.vm.version,sysinfo,,,"21.1-b02",1487757628163
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1487757628398
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1487757628571
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1487757628931
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1487757628987
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1487757629085
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1487757629271
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1487757649099
